Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:40:58:823,4,1032.00,18744.00,8058.91,17933.00,17332.00,24936.00,6920.00,11934.00,8516.00,
05/10/19-11:40:58:823,4,1032.00,18743.00,8060.44,17943.00,17340.00,24936.00,6917.00,11931.00,8516.00,
05/10/19-11:41:58:823,4,1032.00,18742.00,8054.81,17944.00,17329.00,24934.00,6913.00,11930.00,8506.00,
05/10/19-11:41:58:823,4,1032.00,18741.00,8057.88,17944.00,17336.00,24935.00,6906.00,11932.00,8483.00,
05/10/19-11:41:58:823,4,902.00,14922.00,5738.86,15690.00,15182.00,21891.00,6101.00,10455.00,7471.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,7933.35,17955.00,17336.00,24936.00,7003.00,11976.00,8583.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,8052.76,17925.00,17326.00,24938.00,6985.00,11968.00,8561.00,
05/10/19-11:41:58:823,4,1032.00,18753.00,8056.34,17925.00,17325.00,24940.00,6978.00,11966.00,8559.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,8056.34,17971.00,17343.00,24935.00,6972.00,11958.00,8557.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,8056.86,17952.00,17329.00,24938.00,6954.00,11952.00,8552.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,8056.86,17915.00,17338.00,24941.00,6957.00,11949.00,8534.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,8058.91,17943.00,17323.00,24938.00,6937.00,11944.00,8526.00,
05/10/19-11:41:58:823,4,1032.00,18752.00,8057.88,17956.00,17333.00,24939.00,6940.00,11954.00,8526.00,
05/10/19-11:41:58:823,4,1033.00,18752.00,8057.37,17912.00,17325.00,24942.00,6941.00,11945.00,8526.00,
05/10/19-11:41:58:823,4,1032.00,18753.00,8058.91,17908.00,17347.00,24940.00,6931.00,11949.00,8526.00,
05/10/19-11:42:58:823,4,1032.00,18752.00,8054.29,17951.00,17309.00,24935.00,6921.00,11951.00,8552.00,
05/10/19-11:42:58:823,4,1032.00,18752.00,8056.86,17936.00,17352.00,24938.00,6923.00,11940.00,8496.00,
05/10/19-11:42:58:823,4,902.00,17030.00,5705.04,15714.00,15169.00,21891.00,6102.00,10463.00,7486.00,
05/10/19-11:42:58:823,4,1032.00,18761.00,7931.30,17942.00,17341.00,24938.00,7000.00,11974.00,8587.00,
05/10/19-11:42:58:823,4,1032.00,18761.00,8051.73,17944.00,17337.00,24941.00,6997.00,11971.00,8564.00,
05/10/19-11:42:58:823,4,1032.00,18761.00,8056.34,17935.00,17319.00,24939.00,6975.00,11958.00,8565.00,
05/10/19-11:42:58:823,4,1032.00,18762.00,8056.34,17927.00,17349.00,24938.00,6971.00,11957.00,8558.00,
05/10/19-11:42:58:823,4,1032.00,18760.00,8056.34,17930.00,17328.00,24942.00,6959.00,11961.00,8550.00,
05/10/19-11:42:58:823,4,1032.00,18762.00,8056.34,17940.00,17330.00,24938.00,6950.00,11959.00,8535.00,
05/10/19-11:42:58:823,4,1032.00,18761.00,8057.37,17925.00,17341.00,24942.00,6951.00,11946.00,8523.00,
