Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:35:11:821,3,974.00,16970.00,8240.33,18141.00,17002.00,24713.00,6837.00,12726.00,8787.00,
06/28/19-16:35:11:821,3,972.00,16970.00,8240.33,18205.00,17178.00,24740.00,6832.00,12720.00,8786.00,
06/28/19-16:35:11:821,3,968.00,16968.00,8240.84,17635.00,17091.00,24641.00,6829.00,12712.00,8792.00,
06/28/19-16:35:11:821,3,972.00,16969.00,8240.84,17789.00,17405.00,24776.00,6835.00,12728.00,8774.00,
06/28/19-16:35:11:821,3,971.00,16971.00,8240.84,18075.00,17969.00,24773.00,6835.00,12729.00,8774.00,
06/28/19-16:35:11:821,3,972.00,16970.00,8240.84,17967.00,18562.00,24657.00,6822.00,12722.00,8774.00,
06/28/19-16:35:11:821,3,971.00,16970.00,8240.84,18188.00,18473.00,24617.00,6831.00,12721.00,8774.00,
06/28/19-16:35:12:38,3,973.00,16968.00,8238.28,17795.00,18601.00,24636.00,6834.00,12740.00,8834.00,
06/28/19-16:35:12:38,3,971.00,16968.00,8236.74,17761.00,18990.00,24787.00,6833.00,12744.00,8843.00,
06/28/19-16:35:12:38,3,969.00,16971.00,8235.71,17618.00,18712.00,24676.00,6828.00,12739.00,8838.00,
06/28/19-16:35:12:38,3,971.00,16968.00,8236.23,18147.00,18382.00,24632.00,6821.00,12733.00,8839.00,
06/28/19-16:35:12:38,3,971.00,16968.00,8236.23,18014.00,18232.00,24665.00,6842.00,12737.00,8813.00,
06/28/19-16:35:12:38,3,974.00,16971.00,8238.28,18049.00,18204.00,24665.00,6832.00,12718.00,8779.00,
06/28/19-16:35:12:38,3,971.00,16969.00,8240.33,17991.00,17858.00,24770.00,6823.00,12720.00,8788.00,
06/28/19-16:35:12:38,3,971.00,16970.00,8240.84,18073.00,17252.00,24574.00,6834.00,12732.00,8785.00,
06/28/19-16:35:12:38,3,973.00,16971.00,8240.84,17808.00,17387.00,24665.00,6831.00,12726.00,8782.00,
06/28/19-16:35:12:38,3,971.00,16970.00,8240.84,17875.00,17563.00,24628.00,6827.00,12723.00,8775.00,
06/28/19-16:35:12:38,3,974.00,16969.00,8240.84,17926.00,17136.00,24514.00,6839.00,12727.00,8775.00,
06/28/19-16:35:12:38,3,973.00,16969.00,8240.84,18011.00,17261.00,24718.00,6826.00,12728.00,8775.00,
06/28/19-16:35:12:38,3,972.00,16971.00,8240.84,18044.00,17631.00,24728.00,6835.00,12727.00,8775.00,
06/28/19-16:35:12:255,3,970.00,16970.00,8238.79,17657.00,17637.00,24584.00,6839.00,12735.00,8805.00,
06/28/19-16:35:12:255,3,973.00,16968.00,8236.74,18076.00,17970.00,24575.00,6833.00,12731.00,8796.00,
06/28/19-16:35:12:255,3,972.00,16968.00,8236.74,18079.00,18146.00,24559.00,6826.00,12731.00,8809.00,
06/28/19-16:35:12:255,3,969.00,16969.00,8236.74,18066.00,18459.00,24555.00,6824.00,12731.00,8801.00,
06/28/19-16:35:12:255,3,973.00,16969.00,8236.74,17992.00,18490.00,24692.00,6823.00,12732.00,8802.00,
06/28/19-16:35:12:255,3,975.00,16969.00,8237.25,17658.00,18392.00,24662.00,6822.00,12720.00,8782.00,
06/28/19-16:35:12:255,3,970.00,16970.00,8239.81,17619.00,18452.00,24675.00,6832.00,12713.00,8780.00,
06/28/19-16:35:12:255,3,972.00,16972.00,8240.84,17934.00,18386.00,24600.00,6827.00,12723.00,8786.00,
06/28/19-16:35:12:255,3,971.00,16969.00,8240.33,18024.00,18214.00,24601.00,6835.00,12728.00,8774.00,
06/28/19-16:35:12:255,3,972.00,16971.00,8240.84,17935.00,18304.00,24684.00,6831.00,12723.00,8774.00,
06/28/19-16:35:12:255,3,974.00,16969.00,8240.84,17942.00,17717.00,24426.00,6826.00,12734.00,8774.00,
06/28/19-16:35:12:255,3,972.00,16968.00,8240.84,17846.00,17637.00,24487.00,6827.00,12725.00,8774.00,
06/28/19-16:35:12:255,3,973.00,16969.00,8240.84,17676.00,17516.00,24599.00,6827.00,12727.00,8774.00,
06/28/19-16:35:12:471,3,972.00,16969.00,8238.79,18134.00,17336.00,24555.00,6825.00,12751.00,8840.00,
06/28/19-16:35:12:471,3,973.00,16969.00,8236.74,18171.00,17545.00,24635.00,6831.00,12749.00,8831.00,
06/28/19-16:35:12:471,3,976.00,16969.00,8236.23,18164.00,17679.00,24642.00,6826.00,12736.00,8828.00,
06/28/19-16:35:12:471,3,970.00,16969.00,8234.69,17955.00,17775.00,24603.00,6824.00,12742.00,8833.00,
06/28/19-16:35:12:471,3,970.00,16969.00,8235.71,17774.00,17949.00,24622.00,6825.00,12739.00,8802.00,
06/28/19-16:35:12:471,3,971.00,16969.00,8237.76,17811.00,18082.00,24499.00,6826.00,12726.00,8769.00,
06/28/19-16:35:12:471,3,972.00,16968.00,8239.81,18210.00,18104.00,24556.00,6830.00,12725.00,8782.00,
06/28/19-16:35:12:471,3,973.00,16969.00,8240.84,17918.00,18246.00,24554.00,6822.00,12721.00,8771.00,
06/28/19-16:35:12:471,3,973.00,16968.00,8240.33,17788.00,18188.00,24425.00,6824.00,12725.00,8783.00,
06/28/19-16:35:12:471,3,971.00,16969.00,8240.84,17843.00,18189.00,24578.00,6824.00,12733.00,8773.00,
06/28/19-16:35:12:471,3,970.00,16968.00,8240.84,17718.00,18167.00,24541.00,6828.00,12717.00,8773.00,
06/28/19-16:35:12:471,3,971.00,16968.00,8240.84,17939.00,18245.00,24603.00,6825.00,12726.00,8773.00,
06/28/19-16:35:12:471,3,972.00,16969.00,8240.84,18004.00,18085.00,24658.00,6817.00,12727.00,8773.00,
06/28/19-16:35:12:688,3,973.00,16969.00,8237.76,19809.00,17675.00,24787.00,6821.00,12727.00,8802.00,
06/28/19-16:35:12:688,3,974.00,16968.00,8236.74,16631.00,16953.00,23572.00,6831.00,12732.00,8793.00,
06/28/19-16:35:12:688,3,974.00,16968.00,8235.71,16313.00,17544.00,24732.00,6823.00,12731.00,8798.00,
06/28/19-16:35:12:688,3,972.00,16968.00,8236.23,17926.00,17954.00,24560.00,6828.00,12732.00,8799.00,
06/28/19-16:35:12:688,3,973.00,16968.00,8236.23,18435.00,17338.00,24684.00,6820.00,12713.00,8783.00,
06/28/19-16:35:12:688,3,974.00,16969.00,8239.30,18142.00,17917.00,24409.00,6830.00,12720.00,8772.00,
06/28/19-16:35:12:688,3,975.00,16968.00,8240.84,17926.00,17514.00,24656.00,6823.00,12717.00,8776.00,
06/28/19-16:35:12:688,3,971.00,16968.00,8240.84,18034.00,17927.00,24509.00,6830.00,12728.00,8768.00,
06/28/19-16:35:12:688,3,972.00,16968.00,8240.84,17749.00,17656.00,24600.00,6829.00,12725.00,8781.00,
06/28/19-16:35:12:688,3,971.00,16968.00,8240.84,17287.00,18279.00,24530.00,6832.00,12727.00,8764.00,
06/28/19-16:35:12:688,3,972.00,16968.00,8240.84,18177.00,17995.00,24659.00,6820.00,12729.00,8764.00,
06/28/19-16:35:12:688,3,969.00,16969.00,8240.84,18074.00,17983.00,24544.00,6830.00,12724.00,8764.00,
06/28/19-16:35:12:688,3,973.00,16969.00,8240.84,18229.00,18203.00,24414.00,6818.00,12718.00,8764.00,
06/28/19-16:35:12:905,3,971.00,16968.00,8238.28,17690.00,18395.00,24732.00,6821.00,12741.00,8817.00,
